,Species,eBird Link,Info
245,Clamorous Reed Warbler,/species/clrwar1/IN-PB-SH,"Large brown reed warbler with a long, powerful-looking bill. Birds in the Middle East and northeastern Africa average warmer brown than in southern Asia. Most readily confused with other large reed warblers. Oriental Reed Warbler has a “rough-looking,” vaguely streaked throat unlike the clean throat of the Clamorous Reed Warbler. Worn birds may not be identifiable to species level, especially if seen poorly. Great Reed Warbler is similar, but has pink instead of gray legs. Breeds in a wide range of wetland habitats, including freshwater marshes, lakeshores, and mangroves; even in cultivation in some areas. Non-breeding habitats also include drier areas. Song is a loud and jumbled series of harsh grating sounds. Calls include loud, forceful, and hard-sounding chuck’s and churrs."
246,Bronze-winged Jacana,/species/brwjac1/IN-PB-SH,"Gangly inhabitant of well-vegetated wetlands, especially ponds and lakes with floating vegetation. Adult’s dark neck and bright white eyebrows are unmistakable. Juvenile’s white cheek and orangish neck can lead to confusion with Pheasant-tailed Jacana; look for Bronze-winged’s wholly brown wings."
247,Great White Pelican,/species/grwpel1/IN-PB-SH,"A large white waterbird with a hefty bill and a yellow-orange throat pouch. Note the pink bare skin around eye that extends towards the bill. Young birds have browner overall plumage relative to adults with brown upper wings and a brown head. Legs are pink. In flight shows dark flight feathers which contrast with the rest of the wing. Often seen fishing cooperatively, swimming in a wide arc to round up the fish and then scoop them into their pouch."
248,Indian Bushlark,/species/indbus2/IN-PB-SH,"A relatively lean-looking, pale brown bushlark with streaking on the upperparts and spots on the breast. The white eyebrow goes all the way around the ears and encloses the cheeks. Similar to other bushlarks, but it appears more slender and has a longer tail, longer legs, and a smaller bill. Some birds show a distinctive reddish tinge to the wings. It inhabits dry, open areas with rocks, scrub, and grassland. Calls include a pleasant mix of rising and descending whistles and series of trills."
249,Cinnamon Bittern,/species/cinbit1/IN-PB-SH,"Small heron of wet and open grassy areas such as flooded meadows and paddy fields. Uniformly bright rufous upperparts of adult male unmistakable. Female and juvenile have pale streaked belly, dark streaks and spots scattered on the wings and back, and are dark brown with some rufous tones above. Females often have light spotting on the wings, potentially causing confusion with female Schrenck's Bittern, which has brighter and more solid white spots and a prominent dark crown lacking in Cinnamon. Gives dry croaking clicks."
250,Booted Warbler,/species/boowar1/IN-PB-SH,"Small, recalling a beige chiffchaff or other Phylloscopus warbler. Rather nondescript: gray brown above, paler below, with a short, dark-tipped bill and conspicuous pale eyebrow. Pot-bellied with short wings and a square-tipped tail. Can be extremely difficult to identify; compare carefully with small Acrocephalus warblers and other Iduna warblers, especially Sykes’s Warbler. Found in low bushes in steppes and meadows; also bushy areas in migration and in winter. Usually forages low down, and occasionally on the ground. Song starts out with a few dry chitters, then launches into a rapidfire burst of high-pitched chattering that almost stumbles over itself. Also gives dry “tchak” and rattle calls."
251,Eurasian Spoonbill,/species/eurspo1/IN-PB-SH,"Distinctive, large white wading bird with a spatula for a bill. Adult has short crest, yellowish breast patch. First year has paler bill, with fine black wingtips visible in flight. Sleeping birds have horizontal posture and bulging neck, vs. more vertical stance of egrets. Found in wetlands with shallow water (including tidal flats), where feeds by sweeping its bill side-to-side for crustaceans and small fish. May be confused with egrets when sleeping, but note stockier, more thickset overall appearance."
252,Gray-bellied Cuckoo,/species/placuc3/IN-PB-SH,"Rather small cuckoo of open forests and forest edge. Typical adult is gray all over. Some females are “hepatic” and are ginger-orangish with black barring on the back and on the undersides. Song is a high, fading “ki-keeeer...” often given either very early or very late in the day. Breeds in foothill and montane forests, but migratory individuals typically winter in lowlands."
253,White-eyed Buzzard,/species/whebuz1/IN-PB-SH,"A slim brown buzzard with a distinct white iris. Adults have a white throat with a prominent dark stripe, yellow base of the bill, and rufous tail. Dark tips to wing feathers are clearly visible in flight. Often shows a white patch on its nape. Juveniles have a buffy head and brown iris. The usual habitat is dry, open country or forest, where it mainly feed on insects, rodents, and small mammals. This species is most often seen soaring alone in thermals or perched still. Groups of two or three may sometimes be seen. The most commonly heard call is a plaintive mewing note or falling whistle."
254,Western House-Martin,/species/comhom1/IN-PB-SH,"Distinctive small swallow with blue-black upperparts, a big white rump patch, and snow-white underparts. Juvenile in late summer and autumn is duller above and dingier below than adult. Compare with other swallows; note the relatively shallowly forked and streamerless tail, as well as jerky and fluttery flight. In east of range, overlaps with very similar Siberian House-Martin (formerly treated as one species); note present species’ significantly smaller rump patch. Breeds colonially, frequently building mud nests under the eaves of buildings; forages over varied open and semi-open habitats, especially water bodies and adjacent fields. Gives a soft burbling trill."
255,Square-tailed Drongo-Cuckoo,/species/asidrc3/IN-PB-SH,"A small, slim black cuckoo rather similar to Black Drongo but smaller, with a curved bill. Adult black with white bars in the undertail, shorter-tailed juvenile deep blackish gray with bright white dots in wings and flanks. Rather sedentary and difficult to see in tangled vegetation of scrubby and edge habitats in lowland and foothill forests. Song a loud, vibrant, rapid series of ascending hoarse whistles."
256,Black-tailed Godwit,/species/bktgod/IN-PB-SH,"Gregarious medium-sized wader with a long, slightly uptilted bill. Note the very long, pink-based bill. Breeding plumage has bright rusty head and breast, dark barring on belly; nonbreeding plumage has rather plain grayish head, breast, and upperparts, unlike streaked breast and back of Bar-tailed Godwit. In flight shows bold white wing stripe, white rump, and black tail. Fairly common but often local; breeds in grassy wetlands, and found year-round in fresh and brackish marshes, and on adjacent tidal flats. Feeds mainly by wading in deep water, probing with its long bill."
257,Whiskered Tern,/species/whiter2/IN-PB-SH,"Small buoyant tern. Breeding adult has distinctive dark smoky gray body and contrasting white cheeks (can look like broad white ""whiskers"" in flight) underneath a black cap. Nonbreeding plumage pale silvery gray overall with a faded shadow of the cap; juvenile has dark-checkered back. Note rather stout bill (albeit thinner than Gull-billed Tern) and square tail; compare to Common, Roseate, and Arctic Terns. Feeds by picking from surface, not splash-diving like typical terns. Common around wetlands, lakes, and rivers."
